"","id","member_id","loan_amnt","funded_amnt","term_mnths","int_per","installment","grade","sub_grade","emp_title","emp_yrs","home_ownership","annual_inc","verification_status","issue_d","loan_status","desc","purpose","title","addr_state","dti","open_acc","revol_bal","revol_util_per","total_acc","total_pymnt","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","last_payment_due","issue_date","lpd_yr","iss_yr","paid_mths","unpaid_mths","future_value","credit_loss"
"18994",683804,873173,16450,16450,60,16.4,404,"E","E1","triple aaa","7","rent",40000,"verified","Mar-11","Charged Off","  Borrower added on 02/24/11 > All the family are getting together to celebrate one of a relative 65th birthday. It is a special occasion. Family is everything. Great way to vacation and party with family. Life is too short and we got to enjoy life every minute and everyday we are bless to see another day.<br/>","vacation","vacation loan","CA",21.06,5,5091,59.9,8,9947,4776,4504,0,668,7,"Mar-13",31,2013-03-01,2011-03-01,"2013","2011",24,36,11674,14200
"18995",682142,871259,6000,6000,36,10.37,195,"B","B3","jerome h siegel md pc","3","rent",39000,"source verified","Mar-11","Charged Off","  Borrower added on 02/23/11 > NEED TO PAY OFF MY SCHOOL LOAN.<br/>","small_business","to pay my loan","NY",7.29,10,7274,54.2,16,3687,2767,735,0,186,2,"Sep-12",195,2012-09-01,2011-03-01,"2012","2011",18,18,3233,3324
"19015",683494,872827,3000,3000,36,10.37,97,"B","B3","voiplink","3","rent",40000,"source verified","Mar-11","Charged Off","","small_business","win-win","CA",4.68,2,1755,43.9,4,699,437,146,0,116,1,"Sep-11",97,2011-09-01,2011-03-01,"2011","2011",6,30,2563,2794
"19016",683428,872752,25000,25000,60,17.14,623,"E","E3","missing","5","rent",50000,"source verified","Mar-11","Charged Off","  Borrower added on 02/24/11 > I'm backing this with a small quarterly check I receive from my mother's trust<br/> Borrower added on 02/27/11 > Quarterly check is $4500 up until May, 2015.<br/>","debt_consolidation","dedt consolidation","CA",13.56,6,8685,96.5,20,16591,7910,7669,31,981,10,"May-13",26,2013-05-01,2011-03-01,"2013","2011",26,34,17090,20711
"19017",364693,374862,8525,8525,36,14.54,294,"D","D1","cerner corporation","1","mortgage",90000,"not verified","Feb-11","Charged Off","I would like to pay off the following three credit card balances:  Chase Visa Card - Balance = $1,268.76 @ 28.99% Discover Card - Balance = $6,097.63 @ 15.9% Wal-Mart Discover Card Balance = $6,790.93 @ 14.99%  Borrower added on 02/23/11 > The Discover Card (balance of $6097.63) has been paid in full and was listed by mistake.  Can't figure out how to remove it from the listing description.<br/><br/>The following is correct:<br/><br/>I would like to pay off the following three credit card balances:<br/><br/>Chase Visa Card - Balance = $1,268.76 @ 28.99%<br/>Wal-Mart Discover Card Balance = $6,790.93 @ 14.99%<br/>","debt_consolidation","saying goodbye to credit cards...forever","MO",1.24,13,6227,65.5,39,6796,5011,1739,0,46,0,"Feb-13",294,2013-02-01,2011-02-01,"2013","2011",24,12,3514,3746
"19021",682043,871155,10750,10750,36,5.79,326,"A","A2","colorado serenity magazine","7","mortgage",42000,"verified","Feb-11","Charged Off","","debt_consolidation","nicole's consolidation loan","CO",9.23,9,9486,9.8,26,3250,2793,457,0,0,0,"Jan-12",326,2012-01-01,2011-02-01,"2012","2011",11,25,7957,8475
"19028",683184,872476,35000,35000,60,16.02,852,"D","D5","las vegas metropolitain police dept","10+","mortgage",92000,"verified","Feb-11","Charged Off","  Borrower added on 02/24/11 > This loan is going to be used to cosolidated credit cards bills and lower my monthly payments.<br/>","debt_consolidation","credit card pay off","NV",13.62,12,26126,50.4,35,13217,6355,6850,0,11,0,"Sep-12",3000,2012-09-01,2011-02-01,"2012","2011",19,41,28645,37381
"19036",683037,872316,1000,1000,36,10.37,32,"B","B3","missing","na","rent",10000,"source verified","Feb-11","Charged Off","  Borrower added on 02/23/11 > I borrowed this loan to have a lower intrest rate and monthly payment on money owed to a Gap Visa card.<br/> Borrower added on 02/23/11 > I am refinancing a laptop computer bought with that money.<br/>","credit_card","gap card loan","WA",15.48,7,5771,17.4,24,737,573,140,0,24,0,"Jan-13",32,2013-01-01,2011-02-01,"2013","2011",23,13,427,431
"19041",682941,872206,7000,7000,60,15.28,168,"D","D3","missing","10+","mortgage",75000,"not verified","Feb-11","Charged Off","  Borrower added on 02/22/11 > I plan to pay all my credit cards off with this money.  I am currently paying an interest rate of 25.99%.<br/> Borrower added on 02/23/11 > I am paying more right now than i would be going with this loan.  I will be starting a new job next week with my old employer.  I will be bringing home an additional $1000.00 a month. The total net income that we both bring in is $6,500.00<br/> Borrower added on 02/24/11 > I am a mobile Disc Jockey; I have been doing this for 13 years.  I have a very good clientel. The job I will be starting Monday, is working for the largest Private Ambulance Service in the nation. Both of my jobs that i do are very stable.<br/> Borrower added on 02/24/11 > I am never late on any of my bills...This loan will be paid on time!!!<br/>","credit_card","credit card payoff","LA",5.47,10,13088,57.4,43,7419,4300,2702,0,418,4,"Sep-14",168,2014-09-01,2011-02-01,"2014","2011",43,17,2700,2608
"19052",682246,871383,4250,4250,36,12.68,143,"C","C1","missing","na","rent",10380,"verified","Feb-11","Charged Off","  Borrower added on 02/23/11 > First of all, thank you to all investors that have funded thus far.  Your faith will not be misplaced.  I plan to use the funds to clear away my credit card debt; which will make my current income much easier to manage.  I have no dependents, so for me, budgeting will be much easier also.  What makes a good risk is simply this:  I believe that I didn't have to chase anyone to get my loan; so no bank, investor or institution should have to chase me to get it back. The terms of my loan are very reasonable, and I'm more than willing to keep my end of the bargain.  Outside of my credit card bills, there are only my monthly recurring bills to pay(rent, cable, SDG&amp;E, etc.) and even will the loan payment thrown in, I can still manage to live within my means. I live on a fixed income, but as I have said, I have done the paper and pencil work, so I know what I'm getting myself into.  If you have any questions or anything I can clarify, please don't hesitate to place your question and I will answer to the best of my knowledge and as timely as I can.  Thanks again to the investors and to THE LENDING CLUB.<br/>","debt_consolidation","out of the darkness","CA",11.21,5,3104,79.6,11,567,395,173,0,0,0,"Jul-11",143,2011-07-01,2011-02-01,"2011","2011",5,31,3855,4526
"19053",682691,871929,4375,4375,36,16.4,155,"E","E1","osu","3","rent",22044,"verified","Feb-11","Charged Off","","debt_consolidation","kristin","OH",21.34,4,1402,87.6,9,2111,1336,669,0,106,1,"Apr-12",155,2012-04-01,2011-02-01,"2012","2011",14,22,3039,3436
"19055",682634,871862,4200,4200,36,16.02,148,"D","D5","ferguson enterprises","8","mortgage",38496,"not verified","Feb-11","Charged Off","","other","for help","VA",14.87,4,4981,95.8,8,2652,1727,771,0,154,2,"Aug-12",148,2012-08-01,2011-02-01,"2012","2011",18,18,2473,2636
"19068",681502,870531,1400,1400,36,14.91,48,"D","D2","missing","8","mortgage",19200,"not verified","Feb-11","Charged Off","","house","looan adjustment","OR",8.5,3,5737,91.1,4,1210,903,307,0,0,0,"Apr-13",48,2013-04-01,2011-02-01,"2013","2011",26,10,497,530
"19074",682181,871311,14000,14000,60,10.37,300,"B","B3","united states marine corps","5","rent",47068,"source verified","Feb-11","Charged Off","","wedding","disney wedding","AZ",20.22,13,1658,17.5,29,8018,4965,2524,0,528,5,"Apr-13",300,2013-04-01,2011-02-01,"2013","2011",26,34,9035,9944
"19076",682143,871270,18000,18000,60,13.8,417,"C","C4","states recovery systems inc","6","mortgage",46000,"verified","Feb-11","Charged Off","","debt_consolidation","loan to consolidate","CA",15.65,6,6329,58.6,29,831,421,410,0,0,0,"May-11",417,2011-05-01,2011-02-01,"2011","2011",3,57,17579,24054
"19088",679022,867443,13000,13000,36,10.74,424,"B","B4","s.c.a.r.c","5","mortgage",31000,"source verified","Feb-11","Charged Off","  Borrower added on 02/25/11 > This is the last little bit of money I need to purchase my new home.  I have all the other funds.  The acre of land alone  is worth more than the amount i am borrowing.  I have an excellent credit rating and I work in the health care industry, as a residential aide.  It is the most stable industry in the US right now, as it is difficult to get caregivers for the disabled.  I am getting married and relocating, if you help me get this loan it will be the last piece of a dream for me!  Thank you so much for your faith in me, I have never let anyone down yet, in my 47 years.<br/> Borrower added on 02/25/11 > The payments on this loan will be considerably less than the mortgage I have been paying on for the last 13 years.  That house is in the process of being sold.  I make approximately $1200 a month, take home pay and this will be less than one week's pay to repay the loan.<br/> Borrower added on 02/25/11 > The loan is less than a third of the amount I am paying for my home.<br/>","house","new home","NJ",7.39,3,9140,28.6,5,7200,5616,1584,0,0,0,"Aug-12",424,2012-08-01,2011-02-01,"2012","2011",18,18,7384,8028
"19091",679103,867541,17000,17000,60,17.14,424,"E","E3","trident mortgage","10+","rent",62000,"source verified","Feb-11","Charged Off","  Borrower added on 02/28/11 > I am looking to consolidate 11 credit cards with interest rates ranging from 9.99 to 29 %. All my bills are current but would like to make 1 monthly payment.  I have been at my current job for 13 years.<br/>","debt_consolidation","consolidation ","NJ",14.63,14,16339,75.6,26,11865,6168,5682,0,15,0,"Jul-13",424,2013-07-01,2011-02-01,"2013","2011",29,31,10832,13470
"19092",681850,870941,12000,12000,36,9.63,385,"B","B1","force protection ind inc ","2","mortgage",180000,"source verified","Mar-11","Charged Off","Hi there, I'm seeking a loan to invest in rental property I have a 10 year lease from the management company so the payments will not be a issue also I can repay the loan in full within 6 months based on my income. Thanks for your time.","house","help me help others rental property ","OR",2.16,11,6056,30.1,20,4848,4066,781,0,0,0,"Jan-12",385,2012-01-01,2011-03-01,"2012","2011",10,26,7934,8814
"19095",678796,867180,27300,27300,60,16.77,675,"E","E2","go wireless/verizon wireless","1","mortgage",51000,"verified","Feb-11","Charged Off","  Borrower added on 02/22/11 > Paying off what it took to keep my family and my home in working order while jobs were at a premium for two years and getting my life on track so we can have a baby.<br/> Borrower added on 02/22/11 > I have a credit score of 736 last time I checked, I do not want to ruin my rating I took my life to build with consolidation thank you to all that help!<br/>","debt_consolidation","get my life on track loan","MD",14.05,10,19691,37.7,30,15990,7491,7341,0,1157,11,"Jan-13",675,2013-01-01,2011-02-01,"2013","2011",23,37,19809,24336
"19105",681511,870541,12000,12000,36,7.29,372,"A","A4","pratt & whitney rocketdyne","10+","mortgage",125000,"verified","Feb-11","Charged Off","  Borrower added on 02/21/11 > Loan to consolidate high interest rate credit cards.<br/>","debt_consolidation","creditcardconsolidation","CA",19.84,16,9185,19.4,36,2690,1819,409,0,462,5,"Sep-11",372,2011-09-01,2011-02-01,"2011","2011",7,29,10181,10674
"19113",681304,870297,15000,15000,60,14.17,350,"C","C5","kelly towers associates","9","own",48000,"source verified","Feb-11","Charged Off","  Borrower added on 02/21/11 > I already have a smaller loan with lending club for over a year now and i have an excellent payment history. I have never missed a payment i also have an investment account with lending club. I am a responsible payee<br/> Borrower added on 02/21/11 > I also don't pay rent because I get a free apartment through my employer so I'm just trying to consolidate my credit cards n be debt free from revolving credit<br/>","debt_consolidation","debt consolidation ","NY",26.63,14,7213,27.7,25,4554,2413,2131,0,10,0,"Apr-12",350,2012-04-01,2011-02-01,"2012","2011",14,46,12587,16366
"19127",681146,870106,8000,8000,60,15.65,193,"D","D4","microsoft","4","rent",154000,"verified","Feb-11","Charged Off","  Borrower added on 02/21/11 > I am consolidating higher interest debt.  I've had a very clean and on-time payment history, and at the same company for the last 5 years.<br/>","debt_consolidation","feb loan","WA",8.27,7,20466,97.5,20,4011,1894,1767,0,350,3,"Oct-12",193,2012-10-01,2011-02-01,"2012","2011",20,40,6106,7530
"19128",681142,870101,3600,3600,36,13.43,122,"C","C3","morongo casino","3","own",35000,"source verified","Feb-11","Charged Off","  Borrower added on 02/21/11 > plan on using funds to pay off credit card debt. I have a stable job making good money + tips, and ive been working there for over 3 years now. This loan will definatly be paid off before the 3 years are up, as i have a small business on the side. my spendable revenue is easily over $1k a month. any questions please ask.<br/>","credit_card","pay off debt","CA",17.73,8,2068,25.1,9,2070,1419,527,0,125,1,"Jul-12",122,2012-07-01,2011-02-01,"2012","2011",17,19,2181,2307
"19129",680422,869154,7800,7800,60,15.28,187,"D","D3","intelitek inc.","3","mortgage",34216,"source verified","Feb-11","Charged Off","  Borrower added on 02/21/11 > Hi David iin NH, we would like to reduce some interest rates and consolidate our small bills into one monthly payment, with some leftover for spring home improvement project. Thanks for your time and consideration!<br/> Borrower added on 02/23/11 > From David &amp; Irina to current and future investors in Tictok 24, Thank you !<br/>","debt_consolidation","tictok24","NH",10.94,3,1172,37.8,8,7565,4217,2846,0,501,5,"May-14",342,2014-05-01,2011-02-01,"2014","2011",39,21,3583,3615
"19132",681101,870059,6000,6000,60,14.17,140,"C","C5","american stock transfer","10+","rent",48000,"not verified","Feb-11","Charged Off","","debt_consolidation","debt consolidation","NY",15.6,7,5791,76.6,15,5579,3182,1987,0,410,4,"Apr-14",140,2014-04-01,2011-02-01,"2014","2011",38,22,2818,2802
"19134",681087,870041,2400,2400,36,6.92,74,"A","A3","mcdonalds","4","rent",12000,"not verified","Feb-11","Charged Off","  Borrower added on 02/21/11 > I have two signature loans, and I was going to pay one of them off on Friday when I get my income tax money.  The other I need to pay off  is for 2400 at 12.9 %.<br/>","debt_consolidation","pay off bills","OK",22.3,11,310,1.3,31,665,554,112,0,0,0,"Dec-11",74,2011-12-01,2011-02-01,"2011","2011",10,26,1846,2002
"19137",680992,869927,6000,6000,60,19.36,157,"F","F4","frendel, brown & weissman llp","10+","rent",42000,"source verified","Feb-11","Charged Off","  Borrower added on 02/21/11 > I am a young woman who lost her mom about 3 years ago. I had to cancel my wedding due to these financial struggles. I have been working at my job for over 11 years so I assure you that your loan will be paid back completely in a timely manner . I have some credit card debt that I can not get out of on my own.I hope Lending Club will be so kind to help me clear up my credit card debt and be debt free to move on with my life..Thank you in advance, Looking for helping from Brooklyn, NY<br/>","debt_consolidation","tara's debt consolidation loan","NY",11.46,13,11392,77,18,2502,1083,1419,0,0,0,"Jul-12",157,2012-07-01,2011-02-01,"2012","2011",17,43,4917,6837
"19142",680891,869819,21600,21600,60,17.51,543,"E","E4","nissan north america","7","rent",88000,"verified","Feb-11","Charged Off","  Borrower added on 02/21/11 > Used BMW M3 or Lexus IS300, 2004-06 vehicle, southern vehicle with ~85K miles or less.  Full maint-hist required and/or dealer sold with warranty.<br/> Borrower added on 02/22/11 > also considering, more likely now, Audi A4 b/c of availability of extended warranty and/or &quot;certified&quot; dealer warranty.<br/> Borrower added on 02/22/11 > As an FYI - I have a pending settlement that I plan to use to pay back this loan in full within approximately 120 days.  I'll likely not need/use more than around $16K for the car, but applied for $21K in the event that it is needed to get the *right* vehicle with the correct warranty for reliability.<br/> Borrower added on 02/26/11 > AGAIN - just to restate for anyone unclear.  Although I have a less-than-perfect credit score, it's a product of difficult times in the past.  I am stable, secure and have been working very hard to fixed past issues in the past couple of years.  It is important to the rebuilding of my credit to get this loan and pay it properly and correctly.  I will have the capital to pay off this loan in entirety within about 120 days and will likely do so but may pay off the majority of it and save one year of payments to continue to re-establish my credit.  Please feel free to ask me questions and thanks in advance for your faith in funding this loan.<br/>","car","ebay used vehicle loan","NJ",7.62,7,3255,45.8,24,28049,16565,10549,0,935,168,"May-15",543,2015-05-01,2011-02-01,"2015","2011",51,9,5035,4474
"19143",679239,867705,35000,35000,60,16.77,866,"E","E2","partners healthcare","3","mortgage",101000,"verified","Feb-11","Charged Off","  Borrower added on 02/21/11 > Looking to get a load so I can get out of credit card debt.  I want to make one payment to one place and actually feel like I am making progress.  I am going to close off credti card accounts as I don't need this many.  I have a stable job and I wil make my payments as I was responsible for getting into debt so I am responsible for paying it back.<br/> Borrower added on 02/22/11 > I have been at my current job for 3 years and prior to that I was with my previous employer for 13 years.  I am a hard worker and dependable so I will pay back every cent of this loan.  I am tired of the credit card debt and feeling like I am making no progress.  With the help of this loan it will allow me to pay off the credit cards get rid of them.  Like I stated previously I was responsible for getting myself into this debt and I am going to be responsible to get out of it.  The easy way out would have been to walk away from it all and just file for bankruptcy but the way I see it unlike others who just spend and have no intention of paying it back  I spent the money so I am required to pay it back.  This loan would help me do that.<br/>","credit_card","mike's consolidation loan","MA",16.75,12,58923,57.7,34,28981,13893,12072,0,3016,30,"Oct-13",32,2013-10-01,2011-02-01,"2013","2011",32,28,21107,22632
"19147",680694,869574,5000,5000,36,10.74,163,"B","B4","baldor","6","mortgage",51000,"not verified","Feb-11","Charged Off","  Borrower added on 02/20/11 > Need to pay off high interest rate credit card<br/>","debt_consolidation","debt consolidation","GA",15.69,11,8314,59.8,16,1626,1228,397,0,0,0,"Jan-12",163,2012-01-01,2011-02-01,"2012","2011",11,25,3772,4225
"19152",680672,869545,6000,6000,60,16.4,147,"E","E1","ipg inc.","1","mortgage",140000,"verified","Feb-11","Charged Off","","home_improvement","barrys home repair","PA",18.09,9,7660,25.3,30,3237,1652,1573,0,13,0,"Jan-13",147,2013-01-01,2011-02-01,"2013","2011",23,37,4348,5574
"19162",680400,869196,10000,10000,60,10.37,214,"B","B3","maxim helathcare","10+","own",60000,"not verified","Feb-11","Charged Off","  Borrower added on 02/23/11 > I have 2 full time job and one part time I am work as a nurse. I always paid bill on time. I paid more each month. If I earn more.<br/>","home_improvement","home imporvement","CA",24.08,10,17827,39.5,33,3207,2034,1173,0,0,0,"Jun-12",214,2012-06-01,2011-02-01,"2012","2011",16,44,7966,9592
"19190",678544,866873,25000,25000,60,15.65,603,"D","D4","university of mass. medical school","6","mortgage",122000,"verified","Feb-11","Charged Off","  Borrower added on 02/27/11 > Total Household income is over $16k/month.  Have an excellent payment history and capacity to easily meet this loan payment.<br/> Borrower added on 02/27/11 > Early pay-off in 36-48 months is likely.<br/>","medical","our daughter's medical expenses","MA",14.78,17,36067,69,32,13291,6027,6114,60,1090,11,"Dec-12",635,2012-12-01,2011-02-01,"2012","2011",22,38,18973,23078
"19199",670575,857273,16200,16200,60,17.14,404,"E","E3","department of children & families","3","rent",53000,"verified","Feb-11","Charged Off","","car","auto","FL",14.31,8,17699,73.7,13,14845,6421,6598,0,1826,98,"Mar-14",421,2014-03-01,2011-02-01,"2014","2011",37,23,9779,9720
"19201",679848,868489,3600,3600,60,18.25,92,"F","F1","missing","2","rent",30000,"source verified","Feb-11","Charged Off","  Borrower added on 02/19/11 > i am using this money to buy a small trailer for my soon to be Mother-in-law. She is an elderly woman that lives alone. I found her a great deal on this place. it will provide her with the saey and care she needs to be comfortable.<br/> Borrower added on 02/20/11 > This loan is not for partial down payment or to cover closing costs; it pays for the remaining balance for full ownership! I am self-employed and own my own business. I keep a tight reign on my expenses and my personal monthly expenses are around $1200.  I keep my debt ratio under 20 percent. I always pay my bills and I am a good credit risk and investment for you. Thank you in advance for deciding to fund this loan.  She will have peace of mind and the security and safety she has not had in a very long time<br/>","house","home for barbie","AZ",9,2,3388,96.8,22,2048,852,978,60,157,1,"Nov-12",92,2012-11-01,2011-02-01,"2012","2011",21,39,2748,3509
"19211",679572,868154,24000,24000,60,15.65,579,"D","D4","greenville hospital system","2","mortgage",110000,"source verified","Feb-11","Charged Off","  Borrower added on 02/24/11 > Have verified bank account is there anything else I need to do. I plan on doing home renavations and have very stable job in health care.<br/>","home_improvement","oasis","SC",4.67,10,9453,39.2,38,13454,3430,3513,0,6511,1172,"Mar-12",579,2012-03-01,2011-02-01,"2012","2011",13,47,20570,21125
"19220",679352,867841,1500,1500,36,9.63,48,"B","B1","missing","na","rent",30000,"source verified","Feb-11","Charged Off","","small_business","small business loan","NH",22.04,3,0,0,10,1537,1308,229,0,0,0,"Nov-13",48,2013-11-01,2011-02-01,"2013","2011",33,3,192,195
"19237",679053,867480,10000,10000,60,10,212,"B","B2","missing","<1","mortgage",28000,"not verified","Feb-11","Charged Off","  Borrower added on 02/18/11 > Looking to consolidate credit card debt, and have a small amount of security money accessible due to a recent trial separation from my wife.<br/> Borrower added on 02/19/11 > I have stable employment with a stable income, looking to pay one bill monthly at a lower interest rate then the current credit card rates I have. I currently have a monthly income with around 400.00 to 500.00 dollars of disposable ( free to use ) income, with a consolidation loan I hope to raise that number to about 700.00 dollars a month.<br/> Borrower added on 02/22/11 > With this loan I could pay off all of my high interest credit card debt, allowing me to concentrate on just the loan payment and rebuilding my own savings money. Also having security money accessible in case of an emergency where a substantial sum of money was needed.<br/>","debt_consolidation","debt consolidation and security","KY",5.7,10,5547,11.1,21,1485,925,560,0,0,0,"Oct-11",212,2011-10-01,2011-02-01,"2011","2011",8,52,9075,11232
"19239",679046,867473,35000,35000,60,16.4,859,"E","E1","university of miami","10+","own",76000,"verified","Feb-11","Charged Off","  Borrower added on 02/21/11 > I will check my account today to verify the funds.<br/>Thank you.<br/> Borrower added on 02/27/11 > Paying off debts of 50k to consolidated into one payment.<br/> Borrower added on 02/27/11 > I am paying my debts; total of 50k.I have  an excellent payments history with all my creditors and my job is very secure; I am in the medical field.<br/> Borrower added on 02/28/11 > My security in my job; I have been in the medical field for the past 30 years at the same institute for a total 24 years.<br/>","debt_consolidation","debt payoff","FL",22.63,9,11513,49.2,21,10297,4042,5172,0,1083,11,"May-12",200,2012-05-01,2011-02-01,"2012","2011",15,45,30958,40587
"19241",679002,867418,13000,13000,60,17.51,327,"E","E4","new rochelle radiology","7","rent",50000,"verified","Feb-11","Charged Off","","debt_consolidation","personally for me","NY",21.74,15,14017,55.6,50,13129,415,560,0,12154,4255,"Jun-11",327,2011-06-01,2011-02-01,"2011","2011",4,56,12585,6326
"19253",678843,867236,4000,4000,36,5.42,121,"A","A1","bistro44","<1","rent",32000,"source verified","Feb-11","Charged Off","","debt_consolidation","debt consolidation loan","NY",13.99,16,1255,5,25,412,205,36,0,171,2,"May-11",121,2011-05-01,2011-02-01,"2011","2011",3,33,3795,3921
"19261",678703,867065,10000,10000,36,10.37,324,"B","B3","fronterra integrated geosciences","2","mortgage",157656,"source verified","Mar-11","Charged Off","","home_improvement","home update","TX",9.54,6,30889,95,24,5079,3791,1071,0,217,3,"Jun-12",324,2012-06-01,2011-03-01,"2012","2011",15,21,6209,6608
"19288",670808,857554,17000,17000,60,16.4,417,"E","E1","missing","na","mortgage",75000,"not verified","Feb-11","Charged Off","  Borrower added on 02/19/11 > my wife and I would like to use these funds to pay off some bills and only have one payment. With our jobs they are very stable I work as a school bus drive and part time in a funeral home,and my wife works in a office<br/>","debt_consolidation","personal","OH",8.46,8,27005,88.8,28,6663,3273,3389,0,0,0,"Jul-12",417,2012-07-01,2011-02-01,"2012","2011",17,43,13727,18232
"19291",678111,866360,6600,6600,60,11.11,144,"B","B5","pala casino","7","rent",38400,"not verified","Feb-11","Charged Off","","car","bikesrus","CA",3.59,3,3666,15.9,12,3427,1996,1148,0,283,3,"Jan-13",144,2013-01-01,2011-02-01,"2013","2011",23,37,4604,5193
"19296",678015,866258,7200,7200,60,13.06,164,"C","C2","fisher-price","3","mortgage",56500,"source verified","Feb-11","Charged Off","  Borrower added on 02/17/11 > Purchased a new home recently - hiring a contractor to complete the landscaping.<br/> Borrower added on 02/17/11 > Recently purchased a new home - can't wait to get started on the landscaping!<br/>","debt_consolidation","landscaping ","NY",14.93,14,7683,63.8,39,3079,1477,1254,0,348,3,"Nov-12",126,2012-11-01,2011-02-01,"2012","2011",21,39,5723,6711
"19334",677354,865438,15000,15000,60,20.48,401,"G","G2","orbitz","1","mortgage",84996,"verified","Feb-11","Charged Off","","debt_consolidation","castle payoff","IL",1.23,2,171,3.9,29,7130,2635,3785,0,709,7,"Aug-12",35,2012-08-01,2011-02-01,"2012","2011",18,42,12365,16721
"19350",677087,865140,7000,7000,60,16.77,173,"E","E2","enterprise rent a car","<1","rent",70000,"source verified","Feb-11","Charged Off","  Borrower added on 02/16/11 > My Fiancee and I are paying for our wedding ourselves and want it to be absolutely perfect!<br/> Borrower added on 02/16/11 > We have been saving for a few years to pay for the wedding and have come up with a pretty good amount but now we need the rest. Thank you!<br/> Borrower added on 02/16/11 > I currently work for Enterprise Rent-a-Car as an assistant manager at the Los Angeles International Airport. I am working my way up through the company quickly and am enjoying it. My Fiancee works as an office manager for an optometrist who does contact lenses for movies and productions. We both are really excited for our wedding at the Hotel Del Coronado in San Diego. We plan to use the funds to pay for the venue and catering plus vendors.<br/>","wedding","dream wedding","CA",0.81,2,2289,45.8,3,5865,5097,753,15,0,0,"Nov-11",5006,2011-11-01,2011-02-01,"2011","2011",9,51,1903,2652
"19355",677055,865106,15600,15600,60,16.4,383,"E","E1","bluegrass-oakwood","7","rent",74500,"not verified","Feb-11","Charged Off","  Borrower added on 02/17/11 > I  am using the money to consolidate my bills into one payment. I pay my bills in a timely manner, make approx. $4500 a month clear, and my job is very stable.<br/> Borrower added on 02/17/11 > Lending Club has given me the chance to take charge of my financial affairs when other lenders would not, thank you Lending Club.<br/>","debt_consolidation","debt consolidation loan","KY",24.85,15,11733,76.2,45,2248,515,1733,0,0,0,"May-12",100,2012-05-01,2011-02-01,"2012","2011",15,45,15085,20295
"19362",676986,865028,4800,4800,36,10.37,156,"B","B3","missing","na","rent",31200,"not verified","Feb-11","Charged Off","  Borrower added on 02/19/11 > Thank you for assisting me in this matter.<br/>","debt_consolidation","bill consolidation","CA",10.12,4,2849,95,8,4182,2988,945,0,249,2,"Dec-13",113,2013-12-01,2011-02-01,"2013","2011",34,2,1812,1587
"19365",676941,864976,10000,10000,60,10.74,216,"B","B4","rite aid corporation","9","rent",48000,"verified","Feb-11","Charged Off","  Borrower added on 02/16/11 > Looking to consolidate/refinance credit card debt.  I have slightly over $10K in CC debt, and would like to knock it out all at once and pay a much lower rate over a fixed period.  I have NEVER been late on any credit card or loan payment in my life.<br/>","debt_consolidation","cc payoff","NJ",10.4,5,918,12.6,11,5772,3528,1872,0,372,4,"Apr-13",216,2013-04-01,2011-02-01,"2013","2011",26,34,6472,7176
"19367",676925,864961,6000,6000,60,18.62,154,"F","F2","thrillist.com","1","rent",130000,"source verified","Feb-11","Charged Off","  Borrower added on 02/16/11 > Hello and thank you for your consideration.<br/><br/>I'm applying for this loan to cover short term costs and consolidate debt.  I am due four bonus payments through work in 2011 (one after the close of each quarter), and as a result, will be able to pay this loan off by the end of 2011.  <br/><br/>Current Debts/Monthly Payments include 3 credit cards that total 15k, a car payment of 500, and rent of 1400 including all expenses.<br/> Borrower added on 02/16/11 > Also:  I work as a digital ad-sales manager in Los Angeles for a prominent men's brand online.<br/> Borrower added on 02/16/11 > Lastly:  I was invited to apply for a new loan by Lending Club as I've had a personal loan since early 2010.  They invite members who have made 6+ payments on time in a row (I'm 8/8 on mine).   This new loan would buy out the remaining $ on that loan ($9000) as well.<br/>","debt_consolidation","debt consolidation - pay off by dec 2011","CA",8.08,7,13957,76.7,14,6437,3241,2763,15,418,4,"Jun-14",324,2014-06-01,2011-02-01,"2014","2011",40,20,2759,2822
"19374",676779,864798,30000,30000,60,16.77,742,"E","E2","sunbeam television","5","mortgage",170000,"source verified","Feb-11","Charged Off","  Borrower added on 02/16/11 > I am a current Lending Club member.  I will use this loan to pay off an existing Lending Club loan (Loan 544041), plus the remainder of unsecured debts I have.  I am a member in good standing and have never missed a payment.  I would like to pay off all debts at a lower interest rate, in less than 5 years.  One my debts are paid off, it will then be time to pay for my son's college....yeah!  But at least I will be debt-free.  Thanks to all potential investors for helping me with my 'no-debt' plan!<br/>","debt_consolidation","debt consolidation","MA",13.37,15,11160,19,39,11869,5730,6119,0,20,0,"Jul-12",742,2012-07-01,2011-02-01,"2012","2011",17,43,24270,32445
"19376",675272,863013,4000,4000,36,10,129,"B","B2","missing","10+","mortgage",185000,"source verified","Mar-11","Charged Off","","major_purchase","golf cart","LA",19.36,20,31051,63.8,56,4053,3233,622,0,199,33,"Sep-13",129,2013-09-01,2011-03-01,"2013","2011",30,6,767,593
"19382",676546,864561,6000,6000,36,7.66,187,"A","A5","h2e inc.","1","mortgage",68000,"verified","Feb-11","Charged Off","","home_improvement","home improvement loan","WA",24.26,9,36670,92.4,46,930,749,181,0,0,0,"Aug-11",187,2011-08-01,2011-02-01,"2011","2011",6,30,5251,5790
